Date,Net_Income,Depreciation,Change_in_Working_Capital,Capital_Expenditures,Investments,Operating_Cash_Flow,Free_Cash_Flow
2022-03-09,-432185,8535,-8532,7663,19966,-432182,-439845
2022-03-10,118568,12281,-2430,19466,-8214,128419,108953
2022-03-11,189184,3059,-7585,12661,12503,184658,171997
2022-03-12,-32328,14255,-4308,20377,-14983,-22381,-42758
2022-03-13,196916,11470,-15199,30406,-18673,193187,162781
2022-03-14,-162095,7926,-14273,26077,14132,-168442,-194519
2022-03-15,-224957,8669,-5461,27718,49824,-221749,-249467
2022-03-16,-160379,8374,-9721,10071,-15434,-161726,-171797
2022-03-17,-258171,11890,-14531,15168,12720,-260812,-275980
2022-03-18,528766,9794,-13830,29713,-21257,524730,495017
2022-03-19,-388583,8880,-15669,16335,-7177,-395372,-411707
2022-03-20,423695,3000,15301,25816,325,441996,416180
2022-03-21,448438,9372,-16138,19466,-47178,441672,422206
2022-03-22,298060,8329,662,17554,8777,307051,289497
2022-03-23,190953,4341,11009,28952,-45967,206303,177351
2022-03-24,21319,3132,-7222,18644,-1189,17229,-1415
2022-03-25,633195,7759,-5234,31849,29684,635720,603871
2022-03-26,108710,2539,-3425,17381,2557,107824,90443
2022-03-27,-287082,12496,-1059,11341,-4131,-275645,-286986
2022-03-28,-77088,14240,10959,36867,-22116,-51889,-88756
2022-03-29,-483883,13589,-9389,20407,-37771,-479683,-500090
2022-03-30,444415,2205,12099,37045,-18014,458719,421674
2022-03-31,321674,14834,-15096,28705,8416,321412,292707
2022-04-01,54937,4145,7445,7538,-11426,66527,58989
2022-04-02,114017,10093,18859,20096,-23818,142969,122873
2022-04-03,164211,7484,-11778,30723,29949,159917,129194
2022-04-04,-106633,4275,-679,37329,-25517,-103037,-140366
2022-04-05,446001,7067,16903,10198,38550,469971,459773
2022-04-06,-242590,10194,-6929,24281,-29964,-239325,-263606
2022-04-07,65243,8744,9812,33034,701,83799,50765
2022-04-08,76265,9102,-14971,13093,36689,70396,57303
2022-04-09,-118868,6278,2283,19895,23888,-110307,-130202
2022-04-10,-90683,5504,1889,32937,34217,-83290,-116227
2022-04-11,59768,10152,7797,15624,-40712,77717,62093
2022-04-12,132117,9416,-19702,23380,26941,121831,98451
2022-04-13,320950,12506,5050,20427,-15077,338506,318079
2022-04-14,114103,7520,14353,7350,-20884,135976,128626
2022-04-15,-268585,14610,-15703,26940,-43887,-269678,-296618
2022-04-16,453520,2895,18659,36991,-35124,475074,438083
2022-04-17,259201,14545,-6613,16625,-38350,267133,250508
2022-04-18,26274,8945,-6781,39492,-38393,28438,-11054
2022-04-19,209057,7809,17894,24116,25640,234760,210644
2022-04-20,300465,5818,-12378,9238,23368,293905,284667
2022-04-21,219034,9449,13674,38231,-30277,242157,203926
2022-04-22,-37198,12134,-15837,12898,19904,-40901,-53799
2022-04-23,-86060,10201,-942,14722,33630,-76801,-91523
2022-04-24,473294,10701,-264,22977,1637,483731,460754
2022-04-25,-253026,11958,9704,10986,13706,-231364,-242350
2022-04-26,192759,14166,15015,16111,40475,221940,205829
2022-04-27,240945,12813,9181,30636,-10386,262939,232303
2022-04-28,-238810,3574,12532,19211,5132,-222704,-241915
2022-04-29,-209831,2774,-7649,25003,35584,-214706,-239709
2022-04-30,287150,2509,15737,7069,36105,305396,298327
2022-05-01,-388298,8932,-14711,29639,35033,-394077,-423716
2022-05-02,-29707,8031,-14492,10415,-35068,-36168,-46583
2022-05-03,12657,13451,-9191,33976,1937,16917,-17059
2022-05-04,217396,12139,7818,9522,17799,237353,227831
2022-05-05,-198234,8351,8380,37778,186,-181503,-219281
2022-05-06,314538,5116,16919,34750,33836,336573,301823
2022-05-07,278142,7802,-6448,5681,18992,279496,273815
2022-05-08,546079,2016,11536,37094,27513,559631,522537
2022-05-09,-226874,4156,8851,6302,-14943,-213867,-220169
2022-05-10,263463,14938,11001,26741,22757,289402,262661
2022-05-11,287756,3010,-7608,19963,-49377,283158,263195
2022-05-12,-347849,10493,-19898,15818,40628,-357254,-373072
2022-05-13,-59311,11046,13913,20133,47592,-34352,-54485
2022-05-14,-475183,5926,18145,22729,-19478,-451112,-473841
2022-05-15,-29984,13751,-3552,35583,-6855,-19785,-55368
2022-05-16,-130737,5156,-11808,11300,34860,-137389,-148689
2022-05-17,-79380,2276,-3638,27527,-30788,-80742,-108269
2022-05-18,202231,13137,19425,16948,37451,234793,217845
2022-05-19,93120,6102,-4630,14616,40645,94592,79976
2022-05-20,454928,10304,18246,22655,-2021,483478,460823
2022-05-21,386382,14565,-19506,26289,42794,381441,355152
2022-05-22,-218279,9297,1763,13490,34600,-207219,-220709
2022-05-23,13943,3789,4680,9931,7956,22412,12481
2022-05-24,-325621,3572,3920,19866,19342,-318129,-337995
2022-05-25,-207047,10245,-13376,25387,43666,-210178,-235565
2022-05-26,112792,12248,8709,13418,-23741,133749,120331
2022-05-27,523246,13550,-16683,8146,3551,520113,511967
2022-05-28,352490,12916,-16474,37425,20802,348932,311507
2022-05-29,21183,10133,12489,19933,-31999,43805,23872
2022-05-30,611433,5561,3627,17053,19783,620621,603568
2022-05-31,219086,2163,-6639,6662,-47907,214610,207948
2022-06-01,176292,5501,9439,26432,24330,191232,164800
2022-06-02,-19792,10757,-14888,35154,24112,-23923,-59077
2022-06-03,616087,6050,-7589,18930,49812,614548,595618
2022-06-04,-396010,9710,-9752,37587,-15338,-396052,-433639
2022-06-05,-386932,3512,-371,24853,-44401,-383791,-408644
2022-06-06,281035,6456,-5659,27153,-18034,281832,254679
2022-06-07,141809,14635,-15568,26309,-18590,140876,114567
2022-06-08,63803,8499,19078,37901,-48891,91380,53479
2022-06-09,211098,8549,14629,23416,22262,234276,210860
2022-06-10,-361168,9921,4352,20765,-30989,-346895,-367660
2022-06-11,-256974,9431,19007,32406,-7586,-228536,-260942
2022-06-12,-457290,5346,2373,8888,2141,-449571,-458459
2022-06-13,-11643,6529,11327,29275,-20963,6213,-23062
2022-06-14,-166804,6394,-11080,28475,722,-171490,-199965
2022-06-15,255170,8464,18141,20845,42557,281775,260930
2022-06-16,-38513,12806,9872,11233,-25096,-15835,-27068
2022-06-17,337150,6209,-346,7820,7862,343013,335193
2022-06-18,570952,3032,4906,26506,-26252,578890,552384
2022-06-19,433241,7325,-5330,6100,45001,435236,429136
2022-06-20,-492514,14576,4885,10890,-39968,-473053,-483943
2022-06-21,101692,13846,19476,36946,-26867,135014,98068
2022-06-22,120787,7383,17444,23724,23659,145614,121890
2022-06-23,109346,7413,16015,11108,-30929,132774,121666
2022-06-24,-71692,11415,8372,39682,36633,-51905,-91587
2022-06-25,194674,9602,-19484,5643,-29924,184792,179149
2022-06-26,85762,13202,-472,10658,-16921,98492,87834
2022-06-27,-295044,9276,-15237,16685,29584,-301005,-317690
2022-06-28,-83305,9889,-19212,30643,-19729,-92628,-123271
2022-06-29,-278813,5123,-4627,30224,11313,-278317,-308541
2022-06-30,223913,8241,-2066,11903,17425,230088,218185
2022-07-01,273774,13858,-17637,16729,44809,269995,253266
2022-07-02,48506,7610,-6803,8487,18397,49313,40826
2022-07-03,504084,4355,-1288,22857,-32468,507151,484294
2022-07-04,50417,14688,-7081,18160,49442,58024,39864
2022-07-05,225774,9994,12422,36437,33878,248190,211753
2022-07-06,-318274,9035,15075,10625,41611,-294164,-304789
2022-07-07,375769,12013,-2103,11915,-30248,385679,373764
2022-07-08,189322,7677,6154,20154,37555,203153,182999
2022-07-09,334475,11051,-13193,21061,-46917,332333,311272
2022-07-10,1361,9080,12091,7751,45771,22532,14781
2022-07-11,-153881,5150,-9876,32952,33006,-158607,-191559
2022-07-12,369296,11503,13369,17497,49761,394168,376671
2022-07-13,-43906,12477,-18135,23358,-10432,-49564,-72922
2022-07-14,41329,11008,-15311,15128,-29360,37026,21898
2022-07-15,-231749,11206,-15675,38198,-15786,-236218,-274416
2022-07-16,153777,10119,-8211,26510,23904,155685,129175
2022-07-17,145004,3716,-18400,35024,-6372,130320,95296
2022-07-18,165360,13528,-12106,28608,28248,166782,138174
2022-07-19,661923,9244,-10246,19362,31908,660921,641559
2022-07-20,-9322,7866,17100,36179,35052,15644,-20535
2022-07-21,-100008,4779,-6858,19355,-1443,-102087,-121442
2022-07-22,-260938,12080,-7118,5128,-18108,-255976,-261104
2022-07-23,491619,12703,13944,20182,14573,518266,498084
2022-07-24,207016,2101,10,37945,7629,209127,171182
2022-07-25,-203522,11887,-7574,35904,30392,-199209,-235113
2022-07-26,97122,7545,-2700,13469,39798,101967,88498
2022-07-27,668359,12311,18270,36111,41434,698940,662829
2022-07-28,-315940,5163,-2496,6327,-24480,-313273,-319600
2022-07-29,53719,12289,-19458,25364,-18060,46550,21186
2022-07-30,-449695,3164,19477,38032,14404,-427054,-465086
2022-07-31,37652,5410,-11576,5107,-22685,31486,26379
2022-08-01,-82856,6069,4285,36925,-22582,-72502,-109427
2022-08-02,31431,4341,19214,16969,-36430,54986,38017
2022-08-03,-188787,2886,-13294,15159,-23042,-199195,-214354
2022-08-04,122669,11545,-4096,26391,-14073,130118,103727
2022-08-05,-433220,8817,-8966,26659,13792,-433369,-460028
2022-08-06,366859,14357,987,31217,40177,382203,350986
2022-08-07,67282,12173,2062,20622,32270,81517,60895
2022-08-08,498646,11819,-17874,19069,-6124,492591,473522
2022-08-09,419946,4504,1264,24246,33125,425714,401468
2022-08-10,160106,5826,17931,31849,-3622,183863,152014
2022-08-11,72895,11954,18764,30972,-46550,103613,72641
2022-08-12,403717,3277,-5901,15191,-31036,401093,385902
2022-08-13,39697,7067,1886,27977,-45797,48650,20673
2022-08-14,404382,4878,-10893,33450,-46569,398367,364917
2022-08-15,152156,9806,9247,13041,-9432,171209,158168
2022-08-16,71528,10113,7342,20724,45483,88983,68259
2022-08-17,-26139,8745,625,26516,20045,-16769,-43285
2022-08-18,-39522,6385,13418,8165,-14043,-19719,-27884
2022-08-19,403316,13810,-7583,8862,32681,409543,400681
2022-08-20,97067,9423,14685,31314,-31999,121175,89861
2022-08-21,-276461,14974,15690,34158,-31188,-245797,-279955
2022-08-22,51861,14092,-18895,7527,-27337,47058,39531
2022-08-23,485904,12354,6082,7068,-3179,504340,497272
2022-08-24,172444,8132,-19879,30214,-9121,160697,130483
2022-08-25,337318,12996,71,11167,49187,350385,339218
2022-08-26,-73442,7586,-11128,15733,-3462,-76984,-92717
2022-08-27,232091,3399,-2479,10779,-46959,233011,222232
2022-08-28,-254696,7728,18773,32974,27194,-228195,-261169
2022-08-29,45787,6462,19438,22832,1136,71687,48855
2022-08-30,-124748,11143,9834,9045,-16227,-103771,-112816
2022-08-31,62520,8366,-16454,10771,-17907,54432,43661
2022-09-01,319210,10151,-16282,37944,-4400,313079,275135
2022-09-02,-99395,7728,-6769,21256,-12575,-98436,-119692
2022-09-03,113592,7373,-13598,10474,2376,107367,96893
2022-09-04,-191752,14533,13810,12345,-46143,-163409,-175754
2022-09-05,-159796,9294,-15308,34611,-15334,-165810,-200421
2022-09-06,-100333,6778,-7498,26331,47204,-101053,-127384
2022-09-07,325045,8586,-2998,8347,29655,330633,322286
2022-09-08,-167394,4993,14032,9169,30749,-148369,-157538
2022-09-09,-348970,8858,6762,14928,-19672,-333350,-348278
2022-09-10,-54117,5043,-8223,16793,13086,-57297,-74090
2022-09-11,142980,2418,10818,16577,35305,156216,139639
2022-09-12,119718,6288,-16421,36794,-35392,109585,72791
2022-09-13,614744,7529,4351,27734,-23393,626624,598890
2022-09-14,392104,8052,-1482,27739,-41837,398674,370935
2022-09-15,-111986,14201,3794,22437,-226,-93991,-116428
2022-09-16,413927,3757,836,24058,36852,418520,394462
2022-09-17,-457340,14745,19513,20956,-22402,-423082,-444038
2022-09-18,-488168,11804,2971,5899,24540,-473393,-479292
2022-09-19,272355,6270,923,30695,-14066,279548,248853
2022-09-20,-402161,8064,10616,32055,-23112,-383481,-415536
2022-09-21,307259,10832,-19906,28898,-11185,298185,269287
2022-09-22,-76925,13191,-13229,9498,-18113,-76963,-86461
2022-09-23,270177,12361,-1624,6602,26461,280914,274312
2022-09-24,-205226,10221,2955,34534,-35859,-192050,-226584
2022-09-25,14840,12900,14985,32102,25360,42725,10623
2022-09-26,-501220,7924,-2725,30408,-18249,-496021,-526429
2022-09-27,45413,7331,-19637,20424,41536,33107,12683
2022-09-28,22232,14273,18054,34746,-40241,54559,19813
2022-09-29,312996,10462,-5731,15877,26656,317727,301850
2022-09-30,480207,8390,3632,8772,16156,492229,483457
2022-10-01,284300,8668,-8734,29514,-13567,284234,254720
2022-10-02,55555,11653,-11184,11085,12220,56024,44939
2022-10-03,-260477,7828,9320,22133,-7678,-243329,-265462
2022-10-04,25101,2610,18968,13769,36314,46679,32910
2022-10-05,-182157,3885,9794,33264,22796,-168478,-201742
2022-10-06,201040,4911,-13182,17747,-12989,192769,175022
2022-10-07,-21261,4402,-12804,20188,-16610,-29663,-49851
2022-10-08,84976,11834,-547,34547,9529,96263,61716
2022-10-09,89646,12313,5452,33012,-22951,107411,74399
2022-10-10,119488,4023,15084,21363,40176,138595,117232
2022-10-11,-48641,2997,1344,7398,49495,-44300,-51698
2022-10-12,-176287,10443,9137,26134,-29649,-156707,-182841
2022-10-13,172129,4543,77,37240,24231,176749,139509
2022-10-14,-41427,2347,-19708,33263,22652,-58788,-92051
2022-10-15,-173215,10334,-8159,13405,-36704,-171040,-184445
2022-10-16,278880,11764,-11168,22014,-44810,279476,257462
2022-10-17,-262860,9709,19345,32746,-19357,-233806,-266552
2022-10-18,39071,14297,-19496,15402,-14462,33872,18470
2022-10-19,-192201,12613,7049,35898,31425,-172539,-208437
2022-10-20,267874,4302,15322,6981,-27412,287498,280517
2022-10-21,157119,9649,13907,22650,-10551,180675,158025
2022-10-22,199768,5047,19492,32277,-15748,224307,192030
2022-10-23,-377304,11727,2910,37161,9685,-362667,-399828
2022-10-24,128968,10277,-16703,29532,-6467,122542,93010
2022-10-25,-54245,10741,10445,16776,45698,-33059,-49835
2022-10-26,553215,4489,17923,30516,23155,575627,545111
2022-10-27,-13242,10139,-11368,28081,-6080,-14471,-42552
2022-10-28,-97412,14443,15230,14840,-153,-67739,-82579
2022-10-29,3849,5129,16422,12322,-43877,25400,13078
2022-10-30,297375,6087,-10615,7003,-13353,292847,285844
2022-10-31,-93166,5004,-7876,30573,-3480,-96038,-126611
2022-11-01,150116,7583,-7030,12499,21333,150669,138170
2022-11-02,304091,13472,-7998,21066,-19762,309565,288499
2022-11-03,-322576,11763,-10137,15337,-47418,-320950,-336287
2022-11-04,574305,6627,16532,35285,47805,597464,562179
2022-11-05,581874,3565,799,20915,31274,586238,565323
2022-11-06,101400,7268,18302,13318,-21778,126970,113652
2022-11-07,349845,4913,3384,9931,8495,358142,348211
2022-11-08,-337118,10815,-12831,34098,45742,-339134,-373232
2022-11-09,332970,5747,1476,21884,-45236,340193,318309
2022-11-10,215357,14336,-14293,26178,2256,215400,189222
2022-11-11,166303,3730,-19245,25878,18932,150788,124910
2022-11-12,444571,6880,-10267,14103,6338,441184,427081
2022-11-13,-10337,6798,-17299,26637,-32621,-20838,-47475
2022-11-14,199155,5044,-369,16754,48687,203830,187076
2022-11-15,262444,9744,-17313,34658,-10670,254875,220217
2022-11-16,-258086,5475,19567,8026,33165,-233044,-241070
2022-11-17,90894,2319,-14462,6194,-14750,78751,72557
2022-11-18,10070,11311,19387,32478,36216,40768,8290
2022-11-19,344755,8883,-15693,34498,35247,337945,303447
2022-11-20,160124,10050,-14568,17034,30412,155606,138572
2022-11-21,-308503,12672,3759,29406,20786,-292072,-321478
2022-11-22,648657,5714,7735,7901,52,662106,654205
2022-11-23,-403638,2401,-396,39582,24875,-401633,-441215
2022-11-24,-226274,8432,-6382,23471,-10830,-224224,-247695
2022-11-25,222808,9994,-6997,36941,47527,225805,188864
2022-11-26,37726,3909,3750,38170,-21027,45385,7215
2022-11-27,-257784,6047,-11055,27953,-21015,-262792,-290745
2022-11-28,-109105,9816,16793,28438,-47129,-82496,-110934
2022-11-29,2070,13492,17087,21266,29967,32649,11383
2022-11-30,339351,11559,17892,32855,-13307,368802,335947
2022-12-01,-276886,6380,17112,37632,-41293,-253394,-291026
2022-12-02,476452,6517,-1027,38944,3007,481942,442998
2022-12-03,179158,14610,12864,23962,-47041,206632,182670
2022-12-04,237326,5742,14279,23025,-39711,257347,234322
2022-12-05,256919,3302,9958,12109,24705,270179,258070
2022-12-06,320833,4902,-6984,12464,21880,318751,306287
2022-12-07,-300441,10467,-8271,8396,30938,-298245,-306641
2022-12-08,200968,14688,-3279,19682,-39501,212377,192695
2022-12-09,-1442,11989,12429,11579,-32434,22976,11397
2022-12-10,340500,10671,-7821,29222,-17733,343350,314128
2022-12-11,-296931,2129,19705,22699,-23152,-275097,-297796
2022-12-12,-384462,13654,-14342,17603,-41431,-385150,-402753
2022-12-13,260864,14988,-12718,29003,-28261,263134,234131
2022-12-14,135180,8696,9921,7018,30865,153797,146779
2022-12-15,51052,12605,-928,28302,43714,62729,34427
2022-12-16,247842,13659,-10693,36128,-4862,250808,214680
2022-12-17,-18064,14759,-13141,18285,45107,-16446,-34731
2022-12-18,-77067,13103,-4987,35017,-12752,-68951,-103968
2022-12-19,256764,10055,-2369,31163,-47739,264450,233287
2022-12-20,552755,7722,-4910,24013,-44248,555567,531554
2022-12-21,60662,8361,14668,13417,26070,83691,70274
2022-12-22,-49362,13589,-1965,30308,-49640,-37738,-68046
2022-12-23,-336668,5930,-15135,35885,17882,-345873,-381758
2022-12-24,200953,12696,12834,22033,33858,226483,204450
2022-12-25,349509,12016,18236,23939,3423,379761,355822
2022-12-26,-182617,2119,8985,25395,-38417,-171513,-196908
2022-12-27,424987,6588,-1672,37141,47548,429903,392762
2022-12-28,28579,4905,-11123,35691,45254,22361,-13330
2022-12-29,3504,12523,-15013,36350,-32965,1014,-35336
2022-12-30,-313876,2027,-8653,16488,49777,-320502,-336990
2022-12-31,-231566,9646,4445,34106,36094,-217475,-251581
2023-01-01,305929,6002,10086,7885,9089,322017,314132
2023-01-02,288556,8069,-5243,30396,4686,291382,260986
2023-01-03,141030,14442,6398,24499,31200,161870,137371
2023-01-04,62828,3605,-13461,5462,-20441,52972,47510
2023-01-05,16320,11774,-8624,29019,5072,19470,-9549
2023-01-06,-93160,9972,10141,15488,23970,-73047,-88535
2023-01-07,-305817,3394,16734,28679,48328,-285689,-314368
2023-01-08,359570,8595,2290,28135,-44317,370455,342320
2023-01-09,8246,10932,-3871,13114,-32253,15307,2193
2023-01-10,543638,7449,-4056,9255,36081,547031,537776
2023-01-11,-218969,6288,16153,38700,6242,-196528,-235228
2023-01-12,125698,13758,-9364,25379,7956,130092,104713
2023-01-13,261697,14789,-8628,31125,29336,267858,236733
2023-01-14,-88012,3197,-19135,13002,31233,-103950,-116952
2023-01-15,111535,9604,17186,39726,21142,138325,98599
2023-01-16,576430,7456,-19761,35898,-21129,564125,528227
2023-01-17,-266086,14121,-2919,19040,-11827,-254884,-273924
2023-01-18,107990,11703,-866,29615,-20451,118827,89212
2023-01-19,-148415,2003,7568,30270,-42680,-138844,-169114
2023-01-20,6393,7708,-609,5458,-33747,13492,8034
2023-01-21,73254,3099,-16554,27631,20375,59799,32168
2023-01-22,-308036,12122,-310,18267,-21290,-296224,-314491
2023-01-23,75770,7856,-1123,11631,-8598,82503,70872
2023-01-24,253619,13183,-4449,24292,-26030,262353,238061
2023-01-25,352734,5027,-5860,8977,-43132,351901,342924
2023-01-26,-19306,5300,1326,20471,-4620,-12680,-33151
2023-01-27,62402,7572,-1124,33221,-16821,68850,35629
2023-01-28,-416357,3860,-12439,17454,-22981,-424936,-442390
2023-01-29,-149522,14574,10020,9249,49313,-124928,-134177
2023-01-30,14638,4822,-61,32542,24798,19399,-13143
2023-01-31,3866,2859,-8240,22513,46582,-1515,-24028
2023-02-01,378426,5776,4002,31164,-1358,388204,357040
2023-02-02,184872,7584,11267,37390,-14849,203723,166333
2023-02-03,424967,11656,-4612,8438,-1740,432011,423573
2023-02-04,316047,14870,-958,16392,-31197,329959,313567
2023-02-05,-66925,13783,-7954,33358,-35846,-61096,-94454
2023-02-06,-170605,8220,-16530,23819,46229,-178915,-202734
2023-02-07,-435031,6979,-14929,7695,13713,-442981,-450676
2023-02-08,395183,5124,-19195,17895,-17024,381112,363217
2023-02-09,-373194,2501,-18734,12492,-34395,-389427,-401919
2023-02-10,-191052,12587,6234,32141,35160,-172231,-204372
2023-02-11,91205,14228,1408,34877,10925,106841,71964
2023-02-12,434397,3030,-2739,39591,-28920,434688,395097
2023-02-13,60081,3587,-12407,18201,-46475,51261,33060
2023-02-14,-156383,6311,-12343,21207,-19880,-162415,-183622
2023-02-15,-163464,8255,-9119,7046,-19117,-164328,-171374
2023-02-16,-405981,10024,-17857,20947,-15333,-413814,-434761
2023-02-17,234948,13896,-7260,29561,-49778,241584,212023
2023-02-18,614416,6578,8699,33121,-13213,629693,596572
2023-02-19,-100790,10769,17009,8142,-24314,-73012,-81154
2023-02-20,538972,9587,-6139,38609,-10022,542420,503811
2023-02-21,59593,3977,1579,37293,-1057,65149,27856
2023-02-22,362904,2931,12579,29503,9800,378414,348911
2023-02-23,534516,12050,-4210,12462,-40910,542356,529894
2023-02-24,129275,4780,11208,22455,-15589,145263,122808
2023-02-25,-50243,12515,18606,21954,-18792,-19122,-41076
2023-02-26,516796,2690,8664,12249,47820,528150,515901
2023-02-27,148719,10123,10900,34264,-5633,169742,135478
2023-02-28,-255922,4743,-16013,9982,8651,-267192,-277174
2023-03-01,129091,11600,-11964,28087,-46830,128727,100640
2023-03-02,302646,2222,-3507,32418,-42140,301361,268943
2023-03-03,123922,4742,8787,10621,-41297,137451,126830
2023-03-04,418482,13201,-10777,20519,-7954,420906,400387
2023-03-05,463828,10829,-11902,25935,-27939,462755,436820
2023-03-06,217002,8973,-8680,12162,-5734,217295,205133
2023-03-07,-373268,9740,805,38828,47585,-362723,-401551
2023-03-08,-426421,4901,-18257,32317,15832,-439777,-472094
2023-03-09,488476,4688,-19403,28753,-48612,473761,445008
2023-03-10,336902,13313,18136,17773,28273,368351,350578
2023-03-11,269199,13287,9749,9911,15280,292235,282324
2023-03-12,258167,3793,14473,5155,40887,276433,271278
2023-03-13,-270118,9610,-14596,6203,-22118,-275104,-281307
2023-03-14,-204896,8448,13343,38633,-28665,-183105,-221738
2023-03-15,-359522,10231,11158,12139,-40189,-338133,-350272
2023-03-16,598660,13883,-16459,36359,-30225,596084,559725
2023-03-17,2618,9071,1969,27194,46750,13658,-13536
2023-03-18,-291216,11259,-18983,39658,-41357,-298940,-338598
2023-03-19,72878,4592,19706,21232,-36234,97176,75944
2023-03-20,666892,4856,-13873,38560,13638,657875,619315
2023-03-21,-387665,9960,-700,30808,-29846,-378405,-409213
2023-03-22,257758,11111,-19379,32955,-36920,249490,216535
2023-03-23,-261654,5197,-8617,35126,45818,-265074,-300200
2023-03-24,50826,11997,-2287,7518,23940,60536,53018
2023-03-25,-307147,4950,15087,28648,29376,-287110,-315758
2023-03-26,430049,7910,18863,34690,49504,456822,422132
2023-03-27,276439,9044,-16168,19312,39540,269315,250003
2023-03-28,43164,6116,15724,21994,-11104,65004,43010
2023-03-29,-5208,14057,-17847,20652,-36093,-8998,-29650
2023-03-30,245646,14411,11376,16367,32677,271433,255066
2023-03-31,74312,5427,10861,32383,32509,90600,58217
2023-04-01,-8262,8321,2528,35773,-22286,2587,-33186
2023-04-02,243827,12795,-5389,7282,-23670,251233,243951
2023-04-03,408027,4508,-2487,21751,14102,410048,388297
2023-04-04,539861,5732,16350,29020,19788,561943,532923
2023-04-05,-237511,9218,-2503,38325,22123,-230796,-269121
2023-04-06,367347,14271,11782,31885,45309,393400,361515
