Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA,Revenue_MA_30,Revenue_growth_pct
2022-02-05,794049,250187,184165,15982,570,543862,359697,343145,559844,444141.36666666664,4.476879888537887
2022-02-06,550677,389105,49923,14878,10387,161572,111649,86384,176450,443547.2,-0.30649493922919113
2022-02-07,207912,242957,154813,11938,28670,-35045,-189858,-230466,-23107,428309.13333333336,-0.6224429202599708
2022-02-08,495390,84872,39984,672,6109,410518,370534,363753,411190,428360.73333333334,1.3826907537804454
2022-02-09,773895,58839,57382,2565,26721,715056,657674,628388,717621,433019.8333333333,0.5621934233634107
2022-02-10,74802,85118,25243,1272,8337,-10316,-35559,-45168,-9044,429094.8333333333,-0.9033434768282519
2022-02-11,366412,87089,118012,14911,887,279323,161311,145513,294234,426463.56666666665,3.8984251757974384
2022-02-12,173025,130227,68141,14723,26862,42798,-25343,-66928,57521,408115.6,-0.5277856620416361
2022-02-13,606187,52074,193850,10455,24941,554113,360263,324867,564568,417856.7,2.5034648172229446
2022-02-14,668281,277276,46530,5794,3327,391005,344475,335354,396799,426366.2,0.10243373744405604
2022-02-15,317328,260179,70601,807,23809,57149,-13452,-38068,57956,422931.63333333336,-0.5251578303138948
2022-02-16,711771,349279,14334,14097,13743,362492,348158,320318,376589,443863.1666666667,1.2430135380426561
2022-02-17,454073,242941,5824,4732,11237,211132,205308,189339,215864,445127.6666666667,-0.36205183970687205
2022-02-18,792971,180499,130166,8721,14069,612472,482306,459516,621193,460396.43333333335,0.7463513576010905
2022-02-19,755673,369283,161842,6123,20523,386390,224548,197902,392513,473598.6666666667,-0.047035768016737034
2022-02-20,574337,184172,54561,2027,28397,390165,335604,305180,392192,466802.0333333333,-0.2399662287788501
2022-02-21,66920,150079,23046,16740,20449,-83159,-106205,-143394,-66419,456864.3333333333,-0.8834830421860336
2022-02-22,669806,132750,129977,14708,675,537056,407079,391696,551764,466297.26666666666,9.0090555887627
2022-02-23,703666,263503,151690,12937,9392,440163,288473,266144,453100,487860.0333333333,0.050551950863384265
2022-02-24,366608,202047,59012,811,6640,164561,105549,98098,165372,494680.73333333334,-0.4790028223617455
2022-02-25,501554,108779,164825,15140,20678,392775,227950,192132,407915,498879.8,0.36809344040501024
2022-02-26,356493,389353,97451,5703,25713,-32860,-130311,-161727,-27157,484834.0333333333,-0.2892230946219151
2022-02-27,688541,118376,37439,10353,22328,570165,532726,500045,580518,491404.8333333333,0.931429228624405
2022-02-28,793832,215585,41809,19395,6985,578247,536438,510058,597642,507951.1,0.15291899828768374
2022-03-01,551752,10511,118105,16333,24078,541241,423136,382725,557574,506756.56666666665,-0.30495117354805545
2022-03-02,642420,207893,120387,1448,8104,434527,314140,304588,435975,502021.6666666667,0.16432745146370098
2022-03-03,565005,268480,166873,3968,12506,296525,129652,113178,300493,512000.36666666664,-0.12050527692164004
2022-03-04,162716,389826,112966,15624,5901,-227110,-340076,-361601,-211486,496242.3333333333,-0.7120096282333785
2022-03-05,426492,48570,94997,12850,4322,377922,282925,265753,390772,498585.6666666667,1.621082130829175
2022-03-06,757820,69431,156575,8370,21097,688389,531814,502347,696759,519013.6,0.7768680303499245
2022-03-07,625064,280143,93407,8533,24201,344921,251514,218780,353454,513380.76666666666,-0.17518144150325932
2022-03-08,604397,273775,175837,3572,1858,330622,154785,149355,334194,515171.43333333335,-0.03306381426541927
2022-03-09,59765,362389,88195,13496,27870,-302624,-390819,-432185,-289128,510233.2,-0.9011163192404992
2022-03-10,536549,291756,91104,5466,29655,244793,153689,118568,250259,511605.1666666667,7.977645779302268
2022-03-11,453091,172017,77982,2182,11726,281074,203092,189184,283256,500911.7,-0.1555459054065892
2022-03-12,365273,255205,102700,19751,19945,110068,7368,-32328,129819,510594.06666666665,-0.1938197845465922
2022-03-13,569322,327347,17307,17863,9889,241975,224668,196916,259838,517357.73333333334,0.5586205386108472
2022-03-14,196542,269627,73661,6689,8660,-73085,-146746,-162095,-66396,518141.63333333336,-0.6547788422017768
2022-03-15,146918,262926,83150,9291,16508,-116008,-199158,-224957,-106717,502832.6666666667,-0.252485473842741
2022-03-16,203609,252854,84322,862,25950,-49245,-133567,-160379,-48383,487343.6,0.38586830749125367
2022-03-17,206378,256656,172103,7402,28388,-50278,-222381,-258171,-42876,483645.26666666666,0.013599595302761669
2022-03-18,680576,77597,43080,5854,25279,602979,559899,528766,608833,482605.43333333335,2.2977158418048433
2022-03-19,175462,365198,162631,11810,24406,-189736,-352367,-388583,-177926,473318.4,-0.7421860306563852
2022-03-20,705818,189747,75324,4507,12545,516071,440747,423695,520578,470413.3,3.022625981694042
2022-03-21,752147,184953,87676,13417,17663,567194,479518,448438,580611,470295.76666666666,0.06563873406458898
2022-03-22,571741,105484,156496,4091,7610,466257,309761,298060,470348,470209.23333333334,-0.23985470925231367
2022-03-23,651808,348904,85113,1043,25795,302904,217791,190953,303947,489705.5,0.14004068275670267
2022-03-24,191918,120226,39316,3078,7979,71692,32376,21319,74770,473775.9,-0.70556053316314
2022-03-25,789387,28551,105668,18321,3652,760836,655168,633195,779157,476633.26666666666,3.113147281651539
2022-03-26,529033,389385,6059,6094,18785,139648,133589,108710,145742,482047.43333333335,-0.32981794734395165
2022-03-27,282053,396743,140683,2353,29356,-114690,-255373,-287082,-112337,474730.73333333334,-0.4668517842932294
2022-03-28,33172,41669,61799,3315,3477,-8497,-70296,-77088,-5182,463953.36666666664,-0.8823908981645293
2022-03-29,110547,388371,164810,19878,21371,-277824,-442634,-483883,-257946,444686.9,2.3325394911371036
2022-03-30,673230,126021,79197,1066,22531,547209,468012,444415,548275,440666.8333333333,5.089988873510815
2022-03-31,498378,120287,42687,658,13072,378091,335404,321674,378749,438887.7,-0.2597210462991846
2022-04-01,503393,398782,11199,8794,29681,104611,93412,54937,113405,434253.4666666667,0.010062643214588052
2022-04-02,414348,102435,173901,1611,22384,311913,138012,114017,313524,429231.56666666665,-0.17688962699123745
2022-04-03,337565,138012,19068,11939,4335,199553,180485,164211,211492,435059.86666666664,-0.1853104153996158
2022-04-04,105307,160816,43096,7243,785,-55509,-98605,-106633,-48266,424353.7,-0.6880393405714456
2022-04-05,673542,82068,120577,3215,21681,591474,470897,446001,594689,421544.43333333335,5.395985072217422
2022-04-06,50200,257681,18214,10941,5954,-207481,-225695,-242590,-196540,402382.3,-0.9254686418961253
2022-04-07,317751,88980,137184,6728,19616,228771,91587,65243,235499,392827.43333333335,5.3297011952191236
2022-04-08,579299,275811,193582,8334,25307,303488,109906,76265,311822,410145.23333333334,0.8231225078756637
2022-04-09,301892,211162,187873,13932,7793,90730,-97143,-118868,104662,402323.3333333333,-0.47886669923476477
2022-04-10,275041,277303,77592,2466,8363,-2262,-79854,-90683,204,396388.3333333333,-0.08894240324354408
2022-04-11,345745,78966,179113,7124,20774,266779,87666,59768,273903,395737.4,0.25706712817361765
2022-04-12,698601,363647,197672,2566,2599,334954,137282,132117,337520,400046.7,1.02056718101491
2022-04-13,614800,120192,155763,12947,4948,494608,338845,320950,507555,413988.63333333336,-0.11995545382843709
2022-04-14,365582,128231,112617,9244,1387,237351,124734,114103,246595,421277.43333333335,-0.40536434612882233
2022-04-15,57846,228290,74884,11978,11279,-170444,-245328,-268585,-158466,416418.6666666667,-0.8417701090316263
2022-04-16,735908,161600,84567,11892,24329,574308,489741,453520,586200,434069.6666666667,11.72184766448847
2022-04-17,442043,165300,7844,9043,655,276743,268899,259201,285786,426118.56666666665,-0.39932301320273733
2022-04-18,570812,307113,195327,13111,28987,263699,68372,26274,276810,439296.9,0.29130423963279584
2022-04-19,318674,39855,52947,9814,7001,278819,225872,209057,288633,426392.1,-0.4417181138448386
2022-04-20,553539,65728,175015,8991,3340,487811,312796,300465,496802,419771.8333333333,0.737007098163013
2022-04-21,495982,62696,177552,12079,24621,433286,255734,219034,445365,417246.5333333333,-0.10398002670091899
2022-04-22,170056,135966,42246,4114,24928,34090,-8156,-37198,38204,401188.13333333336,-0.6571327185260756
2022-04-23,280678,186999,144330,8922,26487,93679,-50651,-86060,102601,404146.8,0.6505033635978736
2022-04-24,730544,117376,114982,5474,19418,613168,498186,473294,618642,402185.36666666664,1.6027832605334225
2022-04-25,118147,267440,87482,9106,7145,-149293,-236775,-253026,-140187,388489.1666666667,-0.8382753126437286
2022-04-26,653766,340710,86092,10998,23207,313056,226964,192759,324054,400879.6,4.533496407018375
2022-04-27,607909,136907,183250,17633,29174,471002,287752,240945,488635,420037.5,-0.07014283398035381
2022-04-28,230595,323041,104346,15860,26158,-92446,-196792,-238810,-76586,424039.1,-0.6206751339427448
2022-04-29,243862,311245,127024,7670,7754,-67383,-194407,-209831,-59713,409726.8333333333,0.057533771330688044
2022-04-30,532281,112796,106843,16589,8903,419485,312642,287150,436074,410856.93333333335,1.1827139939802018
2022-05-01,38967,373226,8264,17052,28723,-334259,-342523,-388298,-317207,395376.06666666665,-0.9267924273081324
2022-05-02,381297,181695,199816,9075,20418,199602,-214,-29707,208677,394274.36666666664,8.785125875741011
2022-05-03,336131,186285,108784,11827,16578,149846,41062,12657,161673,394226.56666666665,-0.11845359391760224
2022-05-04,563899,214515,121637,2202,8149,349384,227747,217396,351586,409512.9666666667,0.6776167625122349
2022-05-05,58617,68287,156565,17957,14042,-9670,-166235,-198234,8287,389015.4666666667,-0.8960505338722005
2022-05-06,764064,319047,106483,9263,14733,445017,338534,314538,454280,412810.93333333335,12.034853370182711
2022-05-07,688478,307881,95845,3179,3431,380597,284752,278142,383776,425168.5,-0.09892626795661097
2022-05-08,709817,95975,40532,16365,10866,613842,573310,546079,630207,429519.1,0.030994454434273955
2022-05-09,174961,236669,137563,10781,16822,-61708,-199271,-226874,-50927,425288.06666666665,-0.7535125250592758
2022-05-10,666359,298611,64092,16063,24130,367748,303656,263463,383811,438332.0,2.808614491229474
2022-05-11,631823,234691,84145,3500,21731,397132,312987,287756,400632,447867.93333333335,-0.0518279185844267
2022-05-12,104425,234702,174203,19102,24267,-130277,-304480,-347849,-111175,428062.06666666665,-0.8347242819587131
2022-05-13,482935,386898,135856,4242,15250,96037,-39819,-59311,100279,423666.56666666665,3.624706727316256
2022-05-14,60633,334761,163355,12998,24702,-274128,-437483,-475183,-261130,413501.6,-0.8744489424042573
2022-05-15,356624,192385,154969,12217,27037,164239,9270,-29984,176456,423460.86666666664,4.88168159253212
2022-05-16,256934,173885,188235,6088,19463,83049,-105186,-130737,89137,407495.06666666665,-0.27953811297052356
2022-05-17,302010,298994,62073,9710,10613,3016,-59057,-79380,12726,402827.3,0.1754380502385826
2022-05-18,410395,26521,158477,15881,7285,383874,225397,202231,399755,397480.06666666665,0.35887884507135515
2022-05-19,480973,321430,37234,538,28651,159543,122309,93120,160081,402890.0333333333,0.1719757794320107
2022-05-20,611985,12344,134756,2635,7322,599641,464885,454928,602276,404838.23333333334,0.27238951042989945
2022-05-21,691240,188410,93802,2938,19708,502830,409028,386382,505768,411346.8333333333,0.12950480812438214
2022-05-22,81304,254113,11629,14513,19328,-172809,-184438,-218279,-158296,408388.43333333335,-0.8823794919275505
2022-05-23,198780,61163,111332,7075,5267,137617,26285,13943,144692,405658.5,1.4448981599921282
2022-05-24,71749,282882,86753,10343,17392,-211133,-297886,-325621,-200790,383698.6666666667,-0.63905322467049
2022-05-25,225031,340026,62795,10450,18807,-114995,-177790,-207047,-104545,387261.4666666667,2.1363642698852945
2022-05-26,627284,319698,171578,11734,11482,307586,136008,112792,319320,386378.73333333334,1.7875448271571472
2022-05-27,708522,162477,10760,6745,5294,546045,535285,523246,552790,389732.5,0.12950752769080665
2022-05-28,591524,45735,174006,8528,10765,545789,371783,352490,554317,401763.4666666667,-0.16512966428706521
2022-05-29,248503,103040,92761,15004,16515,145463,52702,21183,160467,401918.1666666667,-0.5798936306895409
2022-05-30,680417,32653,23897,9915,2519,647764,623867,611433,657679,406856.0333333333,1.7380635243840117
2022-05-31,452557,53916,169310,959,9286,398641,229331,219086,399600,420642.36666666664,-0.33488287329681654
2022-06-01,390326,126400,44285,16385,26964,263926,219641,176292,280311,420943.3333333333,-0.13750975015301936
2022-06-02,431841,373938,52468,17647,7580,57903,5435,-19792,75550,424133.6666666667,0.10635981205453904
2022-06-03,770084,42246,62532,19423,29796,727838,665306,616087,747261,431006.5,0.7832581899356477
2022-06-04,72237,358766,83023,17575,8883,-286529,-369552,-396010,-268954,431460.5,-0.9061959474550828
2022-06-05,147394,319036,194272,3434,17584,-171642,-365914,-386932,-168208,410904.8333333333,1.0404224981657597
2022-06-06,569336,158223,121607,705,7766,411113,289506,281035,411818,406933.43333333335,2.8626809775160456
2022-06-07,501323,163885,174136,3606,17887,337438,163302,141809,341044,399983.63333333336,-0.11946021330110868
2022-06-08,338507,155818,105952,7663,5271,182689,76737,63803,190352,405435.1666666667,-0.32477265156396173
2022-06-09,570627,177618,160325,6523,15063,393009,232684,211098,399532,402244.1,0.6857169866502022
2022-06-10,35741,301010,77428,8954,9517,-265269,-342697,-361168,-256315,382374.7,-0.9373653892998404
2022-06-11,151087,214295,162985,2350,28431,-63208,-226193,-256974,-60858,383930.1,3.2272739990487116
2022-06-12,115907,356993,187770,12926,15508,-241086,-428856,-457290,-228160,371695.8333333333,-0.23284597615943137
2022-06-13,304257,213638,65110,17406,19746,90619,25509,-11643,108025,379816.63333333336,1.6250097060574427
2022-06-14,137751,265955,9580,17185,11835,-128204,-137784,-166804,-111019,372520.86666666664,-0.5472544592236168
2022-06-15,564827,278749,11281,9555,10072,286078,274797,255170,295633,382783.9666666667,3.1003477288731114
2022-06-16,78508,33911,60720,4727,17663,44597,-16123,-38513,49324,375333.9,-0.8610052281495042
2022-06-17,690315,223822,97582,5677,26084,466493,368911,337150,472170,384664.56666666665,7.792925561726193
2022-06-18,759882,80323,65517,14677,28413,679559,614042,570952,694236,393961.5333333333,0.10077573281762664
2022-06-19,774277,139932,174201,3276,23627,634345,460144,433241,637621,399371.26666666666,0.01894373073714073
2022-06-20,82811,361588,182943,3674,27120,-278777,-461720,-492514,-275103,379090.3,-0.8930473202742688
2022-06-21,335289,98162,109742,7149,18544,237127,127385,101692,244276,387556.4666666667,3.048846167779643
2022-06-22,415590,120218,152769,876,20940,295372,142603,120787,296248,394783.4666666667,0.2394978660200604
2022-06-23,442033,190926,134257,3049,4455,251107,116850,109346,254156,407126.26666666666,0.06362761375394022
2022-06-24,311216,317126,43535,14283,7964,-5910,-49445,-71692,8373,409999.1,-0.2959439679842908
2022-06-25,630970,392236,26341,5583,12136,238734,212393,194674,244317,410121.9666666667,1.0274343221428204
2022-06-26,286638,67155,103869,18055,11797,219483,115614,85762,237538,396059.1666666667,-0.5457184969174446
2022-06-27,61826,145962,177289,19410,14209,-84136,-261425,-295044,-64726,378402.56666666665,-0.7843063376105053
2022-06-28,357858,376748,37524,8995,17896,-18890,-56414,-83305,-9895,382047.73333333334,4.788147381360592
2022-06-29,120222,306901,76367,15089,678,-186679,-263046,-278813,-171590,363374.56666666665,-0.6640511040692119
2022-06-30,616749,209522,156561,5850,20903,407227,250666,223913,413077,368847.63333333336,4.130084343963667
2022-07-01,482314,65189,120625,2231,20495,417125,296500,273774,419356,371913.9,-0.21797360028147594
2022-07-02,602019,386708,134968,8619,23218,215311,80343,48506,223930,377586.5,0.24818893915581963
2022-07-03,704680,171935,14096,9994,4571,532745,518649,504084,542739,375406.36666666664,0.17052784048343983
2022-07-04,450454,351249,13512,13787,21489,99205,85693,50417,112992,388013.6,-0.36076800817392296
2022-07-05,448879,29253,165915,9721,18216,419626,253711,225774,429347,398063.1,-0.003496472447797161
2022-07-06,39282,159481,184406,12304,1365,-120199,-304605,-318274,-107895,380394.63333333336,-0.912488666210716
2022-07-07,606602,168433,30932,18610,12858,438169,407237,375769,456779,383903.93333333335,14.44223817524566
2022-07-08,328068,90894,11324,17822,18706,237174,225850,189322,254996,383555.9666666667,-0.45917092261482817
2022-07-09,738458,222404,142367,19484,19728,516054,373687,334475,535538,389150.3333333333,1.2509296853091434
2022-07-10,421330,301041,84577,18308,16043,120289,35712,1361,138597,402003.3,-0.4294462244298254
2022-07-11,78593,33576,174008,5964,18926,45017,-128991,-153881,50981,399586.8333333333,-0.8134645052571619
2022-07-12,554219,29893,125291,17592,12147,524326,399035,369296,541918,414197.23333333334,6.051760334889876
2022-07-13,236457,156856,88072,13395,22040,79601,-8471,-43906,92996,411937.23333333334,-0.5733509677582327
2022-07-14,574491,341775,176584,3142,11661,232716,56132,41329,235858,426495.23333333334,1.4295791623847043
2022-07-15,239373,375028,68637,18998,8459,-135655,-204292,-231749,-116657,415646.76666666666,-0.5833302871585455
2022-07-16,389426,200010,14656,9735,11248,189416,174760,153777,199151,426010.7,0.6268585011676338
2022-07-17,512493,289298,55517,18821,3853,223195,167678,145004,242016,420083.3,0.3160215291223494
2022-07-18,254862,47247,19275,4665,18315,207615,188340,165360,212280,403249.3,-0.502701500313175
2022-07-19,787176,74445,26685,5860,18263,712731,686046,661923,718591,403679.26666666666,2.0886362031216894
2022-07-20,361057,157649,198130,4467,10133,203408,5278,-9322,207875,412954.13333333336,-0.5413262091323923
2022-07-21,90588,38202,122861,13284,16249,52386,-70475,-100008,65670,404797.43333333335,-0.7491033271754876
2022-07-22,176054,327336,78430,6454,24772,-151282,-229712,-260938,-144828,396812.9,0.9434582946968693
2022-07-23,710955,89166,113821,3335,13014,621789,507968,491619,625124,405776.9666666667,3.0382780283322166
2022-07-24,634399,346718,48569,11394,20702,287681,239112,207016,299075,416549.73333333334,-0.10768051423789127
2022-07-25,150558,115813,194728,18110,25429,34745,-159983,-203522,52855,400536.0,-0.7626761706749222
2022-07-26,437389,187850,116904,7964,27549,249539,132635,97122,257503,405561.0333333333,1.9051196216740394
2022-07-27,796907,18414,103388,3759,2987,778493,675105,668359,782252,430063.73333333334,0.821963972573613
2022-07-28,120522,364452,43379,18911,9720,-243930,-287309,-315940,-225019,422152.5333333333,-0.8487627790946748
2022-07-29,340463,229914,12862,16014,27954,110549,97687,53719,126563,429493.9,1.8249033371500638
2022-07-30,35110,250783,185518,18952,29552,-215673,-401191,-449695,-196721,410105.93333333335,-0.8968757251155045
2022-07-31,284056,203486,10032,11462,21424,80570,70538,37652,92032,403497.3333333333,7.090458558815152
2022-08-01,228633,200082,106515,1777,3115,28551,-77964,-82856,30328,391051.13333333336,-0.19511293547751152
2022-08-02,262649,179478,23116,7031,21593,83171,60055,31431,90202,376316.76666666666,0.1487799224084012
2022-08-03,195590,172979,192752,16142,2504,22611,-170141,-188787,38753,367821.3,-0.2553179338204219
2022-08-04,389899,117212,128594,16976,4448,272687,144093,122669,289663,365855.3,0.993450585408252
2022-08-05,94831,354470,149671,1618,22292,-259639,-409310,-433220,-258021,367706.93333333335,-0.7567806021559429
2022-08-06,720673,315633,21302,2241,14638,405040,383738,366859,407281,371509.3,6.599550779808291
2022-08-07,230823,123327,21625,5538,13051,107496,85871,67282,113034,368267.8,-0.6797118804228826
2022-08-08,799780,250677,33858,15588,1011,549103,515245,498646,564691,370311.86666666664,2.464906010232949
2022-08-09,782283,271343,77012,10889,3093,510940,433928,419946,521829,382343.63333333336,-0.021877266248218286
2022-08-10,583574,281892,125922,8246,7408,301682,175760,160106,309928,399176.3333333333,-0.25401165562846184
2022-08-11,560754,272026,192001,5860,17972,288728,96727,72895,294588,399394.1666666667,-0.03910386686178613
2022-08-12,768932,196085,133694,8961,26475,572847,439153,403717,581808,417143.3333333333,0.37124657158040786
2022-08-13,258771,187128,10827,17364,3755,71643,60816,39697,89007,406619.3333333333,-0.6634669905791409
2022-08-14,777737,319378,25043,2885,26049,458359,433316,404382,461244,424564.8,2.0055029350274953
2022-08-15,408791,184448,58345,892,12950,224343,165998,152156,225235,425210.3,-0.47438401413331244
2022-08-16,355880,135421,107847,16171,24913,220459,112612,71528,236630,419989.86666666664,-0.12943288868884095
2022-08-17,502727,330679,161584,15224,21379,172048,10464,-26139,187272,428252.0333333333,0.4126306620209059
2022-08-18,308175,171112,136054,12274,28257,137063,1009,-39522,149337,412285.3333333333,-0.3869933383327333
2022-08-19,655322,106772,114131,11042,20061,548550,434419,403316,559592,422094.1666666667,1.1264606149103593
2022-08-20,462235,315599,19516,8093,21960,146636,127120,97067,154729,434482.4,-0.29464446485849705
2022-08-21,140637,378205,17772,2769,18352,-237568,-255340,-276461,-234799,433301.8333333333,-0.6957456704922821
2022-08-22,451611,197519,177615,12336,12280,254092,76477,51861,266428,424657.0333333333,2.21118197913778
2022-08-23,665535,138392,18466,15726,7047,527143,508677,485904,542869,425694.9,0.47369085341145367
2022-08-24,288354,38876,38657,8436,29941,249478,210821,172444,257914,430288.1,-0.5667335301674592
2022-08-25,577383,180678,43385,10785,5217,396705,353320,337318,407490,434954.56666666665,1.0023408726773342
2022-08-26,154619,43383,155491,3072,26115,111236,-44255,-73442,114308,413544.9666666667,-0.7322072177393515
2022-08-27,567243,127538,179614,6554,21446,439705,260091,232091,446259,428435.6666666667,2.6686500365414343
2022-08-28,192316,334818,88471,10023,13700,-142502,-230973,-254696,-132479,423497.43333333335,-0.6609636434473409
2022-08-29,300748,206393,26520,11757,10291,94355,67835,45787,106112,432352.0333333333,0.5638220428877472
2022-08-30,248095,307997,37298,546,27002,-59902,-97200,-124748,-59356,431153.3333333333,-0.1750734834479365
2022-08-31,403560,126903,164896,19598,29643,276657,111761,62520,296255,436984.23333333334,0.6266349583828774
2022-09-01,693945,195400,141512,17571,20252,498545,357033,319210,516116,451360.76666666666,0.7195584299732383
2022-09-02,259676,265007,68802,6381,18881,-5331,-74133,-99395,1050,453496.9666666667,-0.6257974335141834
2022-09-03,621716,376109,88459,13579,29977,245607,157148,113592,259186,461224.2,1.394198924813999
2022-09-04,155417,201985,137762,5272,2150,-46568,-184330,-191752,-41296,463243.73333333334,-0.7500193014173674
2022-09-05,43164,19932,151445,17809,13774,23232,-128213,-159796,41041,440660.1,-0.7222697645688696
2022-09-06,218869,101522,173545,15540,28595,117347,-56198,-100333,132887,440261.63333333336,4.07063756834399
2022-09-07,720956,273440,118477,3370,624,447516,329039,325045,450886,437634.1666666667,2.2940069173798023
2022-09-08,170442,232570,79331,6945,18990,-62128,-141459,-167394,-55183,417239.4666666667,-0.763588901403137
2022-09-09,44258,339888,16734,10606,26000,-295630,-312364,-348970,-285024,399262.26666666666,-0.7403339552457728
2022-09-10,174295,75311,106421,18138,28542,98984,-7437,-54117,117122,386380.3,2.9381580731167247
2022-09-11,519543,263462,71581,12712,28808,256081,184500,142980,268793,378067.3333333333,1.9808256117501934
2022-09-12,432419,120074,172738,5458,14431,312345,139607,119718,317803,383855.6,-0.16769353066059978
2022-09-13,682979,28856,24621,9481,5277,654123,629502,614744,663604,380697.0,0.5794379987928375
2022-09-14,579617,53515,99149,6381,28468,526102,426953,392104,532483,386391.2,-0.1513399387096821
2022-09-15,70640,160090,7183,13420,1933,-89450,-96633,-111986,-76030,376883.2,-0.878126417962206
2022-09-16,558463,42778,66718,19581,15459,515685,448967,413927,535266,378741.06666666665,6.9057616081540205
2022-09-17,48120,339432,132770,10734,22524,-291312,-424082,-457340,-280578,370072.56666666665,-0.9138349362446572
2022-09-18,120386,374882,197884,18483,17305,-254496,-452380,-488168,-236013,352241.36666666664,1.5017871986699918
2022-09-19,669150,287974,94869,10217,3735,381176,286307,272355,391393,359138.5333333333,4.558370574651538
2022-09-20,144787,382235,132464,15380,16869,-237448,-369912,-402161,-222068,359276.86666666664,-0.7836254950310095
2022-09-21,686751,321941,38280,2981,16290,364810,326530,307259,367791,367114.86666666664,3.74318136296767
2022-09-22,344266,353440,38201,18090,11460,-9174,-47375,-76925,8916,356405.9,-0.4987033145929165
2022-09-23,559850,167233,77332,17840,27268,392617,315285,270177,410457,365455.76666666666,0.6262134512266677
2022-09-24,174424,184884,169458,15950,9358,-10460,-179918,-205226,5490,352023.8,-0.6884451192283647
2022-09-25,531227,307035,184789,6199,18364,224192,39403,14840,230391,364577.4,2.045607255882218
