Date,Revenue,COGS,Operating_Expenses,Interest_Expense,Taxes,Gross_Profit,Operating_Income,Net_Income,EBITDA
2022-02-11,366412,87089,118012,14911,887,279323,161311,145513,294234
2022-02-12,173025,130227,68141,14723,26862,42798,-25343,-66928,57521
2022-02-13,606187,52074,193850,10455,24941,554113,360263,324867,564568
2022-02-14,668281,277276,46530,5794,3327,391005,344475,335354,396799
2022-02-15,317328,260179,70601,807,23809,57149,-13452,-38068,57956
2022-02-16,711771,349279,14334,14097,13743,362492,348158,320318,376589
2022-02-17,454073,242941,5824,4732,11237,211132,205308,189339,215864
2022-02-18,792971,180499,130166,8721,14069,612472,482306,459516,621193
2022-02-19,755673,369283,161842,6123,20523,386390,224548,197902,392513
2022-02-20,574337,184172,54561,2027,28397,390165,335604,305180,392192
2022-02-21,66920,150079,23046,16740,20449,-83159,-106205,-143394,-66419
2022-02-22,669806,132750,129977,14708,675,537056,407079,391696,551764
2022-02-23,703666,263503,151690,12937,9392,440163,288473,266144,453100
2022-02-24,366608,202047,59012,811,6640,164561,105549,98098,165372
2022-02-25,501554,108779,164825,15140,20678,392775,227950,192132,407915
2022-02-26,356493,389353,97451,5703,25713,-32860,-130311,-161727,-27157
2022-02-27,688541,118376,37439,10353,22328,570165,532726,500045,580518
2022-02-28,793832,215585,41809,19395,6985,578247,536438,510058,597642
2022-03-01,551752,10511,118105,16333,24078,541241,423136,382725,557574
2022-03-02,642420,207893,120387,1448,8104,434527,314140,304588,435975
2022-03-03,565005,268480,166873,3968,12506,296525,129652,113178,300493
2022-03-04,162716,389826,112966,15624,5901,-227110,-340076,-361601,-211486
2022-03-05,426492,48570,94997,12850,4322,377922,282925,265753,390772
2022-03-06,757820,69431,156575,8370,21097,688389,531814,502347,696759
2022-03-07,625064,280143,93407,8533,24201,344921,251514,218780,353454
2022-03-08,604397,273775,175837,3572,1858,330622,154785,149355,334194
2022-03-09,59765,362389,88195,13496,27870,-302624,-390819,-432185,-289128
2022-03-10,536549,291756,91104,5466,29655,244793,153689,118568,250259
2022-03-11,453091,172017,77982,2182,11726,281074,203092,189184,283256
2022-03-12,365273,255205,102700,19751,19945,110068,7368,-32328,129819
2022-03-13,569322,327347,17307,17863,9889,241975,224668,196916,259838
2022-03-14,196542,269627,73661,6689,8660,-73085,-146746,-162095,-66396
2022-03-15,146918,262926,83150,9291,16508,-116008,-199158,-224957,-106717
2022-03-16,203609,252854,84322,862,25950,-49245,-133567,-160379,-48383
2022-03-17,206378,256656,172103,7402,28388,-50278,-222381,-258171,-42876
2022-03-18,680576,77597,43080,5854,25279,602979,559899,528766,608833
2022-03-19,175462,365198,162631,11810,24406,-189736,-352367,-388583,-177926
2022-03-20,705818,189747,75324,4507,12545,516071,440747,423695,520578
2022-03-21,752147,184953,87676,13417,17663,567194,479518,448438,580611
2022-03-22,571741,105484,156496,4091,7610,466257,309761,298060,470348
2022-03-23,651808,348904,85113,1043,25795,302904,217791,190953,303947
2022-03-24,191918,120226,39316,3078,7979,71692,32376,21319,74770
2022-03-25,789387,28551,105668,18321,3652,760836,655168,633195,779157
2022-03-26,529033,389385,6059,6094,18785,139648,133589,108710,145742
2022-03-27,282053,396743,140683,2353,29356,-114690,-255373,-287082,-112337
2022-03-28,33172,41669,61799,3315,3477,-8497,-70296,-77088,-5182
2022-03-29,110547,388371,164810,19878,21371,-277824,-442634,-483883,-257946
2022-03-30,673230,126021,79197,1066,22531,547209,468012,444415,548275
2022-03-31,498378,120287,42687,658,13072,378091,335404,321674,378749
2022-04-01,503393,398782,11199,8794,29681,104611,93412,54937,113405
2022-04-02,414348,102435,173901,1611,22384,311913,138012,114017,313524
2022-04-03,337565,138012,19068,11939,4335,199553,180485,164211,211492
2022-04-04,105307,160816,43096,7243,785,-55509,-98605,-106633,-48266
2022-04-05,673542,82068,120577,3215,21681,591474,470897,446001,594689
2022-04-06,50200,257681,18214,10941,5954,-207481,-225695,-242590,-196540
2022-04-07,317751,88980,137184,6728,19616,228771,91587,65243,235499
2022-04-08,579299,275811,193582,8334,25307,303488,109906,76265,311822
2022-04-09,301892,211162,187873,13932,7793,90730,-97143,-118868,104662
2022-04-10,275041,277303,77592,2466,8363,-2262,-79854,-90683,204
2022-04-11,345745,78966,179113,7124,20774,266779,87666,59768,273903
2022-04-12,698601,363647,197672,2566,2599,334954,137282,132117,337520
2022-04-13,614800,120192,155763,12947,4948,494608,338845,320950,507555
2022-04-14,365582,128231,112617,9244,1387,237351,124734,114103,246595
2022-04-15,57846,228290,74884,11978,11279,-170444,-245328,-268585,-158466
2022-04-16,735908,161600,84567,11892,24329,574308,489741,453520,586200
2022-04-17,442043,165300,7844,9043,655,276743,268899,259201,285786
2022-04-18,570812,307113,195327,13111,28987,263699,68372,26274,276810
2022-04-19,318674,39855,52947,9814,7001,278819,225872,209057,288633
2022-04-20,553539,65728,175015,8991,3340,487811,312796,300465,496802
2022-04-21,495982,62696,177552,12079,24621,433286,255734,219034,445365
2022-04-22,170056,135966,42246,4114,24928,34090,-8156,-37198,38204
2022-04-23,280678,186999,144330,8922,26487,93679,-50651,-86060,102601
2022-04-24,730544,117376,114982,5474,19418,613168,498186,473294,618642
2022-04-25,118147,267440,87482,9106,7145,-149293,-236775,-253026,-140187
2022-04-26,653766,340710,86092,10998,23207,313056,226964,192759,324054
2022-04-27,607909,136907,183250,17633,29174,471002,287752,240945,488635
2022-04-28,230595,323041,104346,15860,26158,-92446,-196792,-238810,-76586
2022-04-29,243862,311245,127024,7670,7754,-67383,-194407,-209831,-59713
2022-04-30,532281,112796,106843,16589,8903,419485,312642,287150,436074
2022-05-01,38967,373226,8264,17052,28723,-334259,-342523,-388298,-317207
2022-05-02,381297,181695,199816,9075,20418,199602,-214,-29707,208677
2022-05-03,336131,186285,108784,11827,16578,149846,41062,12657,161673
2022-05-04,563899,214515,121637,2202,8149,349384,227747,217396,351586
2022-05-05,58617,68287,156565,17957,14042,-9670,-166235,-198234,8287
2022-05-06,764064,319047,106483,9263,14733,445017,338534,314538,454280
2022-05-07,688478,307881,95845,3179,3431,380597,284752,278142,383776
2022-05-08,709817,95975,40532,16365,10866,613842,573310,546079,630207
2022-05-09,174961,236669,137563,10781,16822,-61708,-199271,-226874,-50927
2022-05-10,666359,298611,64092,16063,24130,367748,303656,263463,383811
2022-05-11,631823,234691,84145,3500,21731,397132,312987,287756,400632
2022-05-12,104425,234702,174203,19102,24267,-130277,-304480,-347849,-111175
2022-05-13,482935,386898,135856,4242,15250,96037,-39819,-59311,100279
2022-05-14,60633,334761,163355,12998,24702,-274128,-437483,-475183,-261130
2022-05-15,356624,192385,154969,12217,27037,164239,9270,-29984,176456
2022-05-16,256934,173885,188235,6088,19463,83049,-105186,-130737,89137
2022-05-17,302010,298994,62073,9710,10613,3016,-59057,-79380,12726
2022-05-18,410395,26521,158477,15881,7285,383874,225397,202231,399755
2022-05-19,480973,321430,37234,538,28651,159543,122309,93120,160081
2022-05-20,611985,12344,134756,2635,7322,599641,464885,454928,602276
2022-05-21,691240,188410,93802,2938,19708,502830,409028,386382,505768
2022-05-22,81304,254113,11629,14513,19328,-172809,-184438,-218279,-158296
2022-05-23,198780,61163,111332,7075,5267,137617,26285,13943,144692
2022-05-24,71749,282882,86753,10343,17392,-211133,-297886,-325621,-200790
2022-05-25,225031,340026,62795,10450,18807,-114995,-177790,-207047,-104545
2022-05-26,627284,319698,171578,11734,11482,307586,136008,112792,319320
2022-05-27,708522,162477,10760,6745,5294,546045,535285,523246,552790
2022-05-28,591524,45735,174006,8528,10765,545789,371783,352490,554317
2022-05-29,248503,103040,92761,15004,16515,145463,52702,21183,160467
2022-05-30,680417,32653,23897,9915,2519,647764,623867,611433,657679
2022-05-31,452557,53916,169310,959,9286,398641,229331,219086,399600
2022-06-01,390326,126400,44285,16385,26964,263926,219641,176292,280311
2022-06-02,431841,373938,52468,17647,7580,57903,5435,-19792,75550
2022-06-03,770084,42246,62532,19423,29796,727838,665306,616087,747261
2022-06-04,72237,358766,83023,17575,8883,-286529,-369552,-396010,-268954
2022-06-05,147394,319036,194272,3434,17584,-171642,-365914,-386932,-168208
2022-06-06,569336,158223,121607,705,7766,411113,289506,281035,411818
2022-06-07,501323,163885,174136,3606,17887,337438,163302,141809,341044
2022-06-08,338507,155818,105952,7663,5271,182689,76737,63803,190352
2022-06-09,570627,177618,160325,6523,15063,393009,232684,211098,399532
2022-06-10,35741,301010,77428,8954,9517,-265269,-342697,-361168,-256315
2022-06-11,151087,214295,162985,2350,28431,-63208,-226193,-256974,-60858
2022-06-12,115907,356993,187770,12926,15508,-241086,-428856,-457290,-228160
2022-06-13,304257,213638,65110,17406,19746,90619,25509,-11643,108025
2022-06-14,137751,265955,9580,17185,11835,-128204,-137784,-166804,-111019
2022-06-15,564827,278749,11281,9555,10072,286078,274797,255170,295633
2022-06-16,78508,33911,60720,4727,17663,44597,-16123,-38513,49324
2022-06-17,690315,223822,97582,5677,26084,466493,368911,337150,472170
2022-06-18,759882,80323,65517,14677,28413,679559,614042,570952,694236
2022-06-19,774277,139932,174201,3276,23627,634345,460144,433241,637621
2022-06-20,82811,361588,182943,3674,27120,-278777,-461720,-492514,-275103
2022-06-21,335289,98162,109742,7149,18544,237127,127385,101692,244276
2022-06-22,415590,120218,152769,876,20940,295372,142603,120787,296248
2022-06-23,442033,190926,134257,3049,4455,251107,116850,109346,254156
2022-06-24,311216,317126,43535,14283,7964,-5910,-49445,-71692,8373
2022-06-25,630970,392236,26341,5583,12136,238734,212393,194674,244317
2022-06-26,286638,67155,103869,18055,11797,219483,115614,85762,237538
2022-06-27,61826,145962,177289,19410,14209,-84136,-261425,-295044,-64726
2022-06-28,357858,376748,37524,8995,17896,-18890,-56414,-83305,-9895
2022-06-29,120222,306901,76367,15089,678,-186679,-263046,-278813,-171590
2022-06-30,616749,209522,156561,5850,20903,407227,250666,223913,413077
2022-07-01,482314,65189,120625,2231,20495,417125,296500,273774,419356
2022-07-02,602019,386708,134968,8619,23218,215311,80343,48506,223930
2022-07-03,704680,171935,14096,9994,4571,532745,518649,504084,542739
2022-07-04,450454,351249,13512,13787,21489,99205,85693,50417,112992
2022-07-05,448879,29253,165915,9721,18216,419626,253711,225774,429347
2022-07-06,39282,159481,184406,12304,1365,-120199,-304605,-318274,-107895
2022-07-07,606602,168433,30932,18610,12858,438169,407237,375769,456779
2022-07-08,328068,90894,11324,17822,18706,237174,225850,189322,254996
2022-07-09,738458,222404,142367,19484,19728,516054,373687,334475,535538
2022-07-10,421330,301041,84577,18308,16043,120289,35712,1361,138597
2022-07-11,78593,33576,174008,5964,18926,45017,-128991,-153881,50981
2022-07-12,554219,29893,125291,17592,12147,524326,399035,369296,541918
2022-07-13,236457,156856,88072,13395,22040,79601,-8471,-43906,92996
2022-07-14,574491,341775,176584,3142,11661,232716,56132,41329,235858
2022-07-15,239373,375028,68637,18998,8459,-135655,-204292,-231749,-116657
2022-07-16,389426,200010,14656,9735,11248,189416,174760,153777,199151
2022-07-17,512493,289298,55517,18821,3853,223195,167678,145004,242016
2022-07-18,254862,47247,19275,4665,18315,207615,188340,165360,212280
2022-07-19,787176,74445,26685,5860,18263,712731,686046,661923,718591
2022-07-20,361057,157649,198130,4467,10133,203408,5278,-9322,207875
2022-07-21,90588,38202,122861,13284,16249,52386,-70475,-100008,65670
2022-07-22,176054,327336,78430,6454,24772,-151282,-229712,-260938,-144828
2022-07-23,710955,89166,113821,3335,13014,621789,507968,491619,625124
2022-07-24,634399,346718,48569,11394,20702,287681,239112,207016,299075
2022-07-25,150558,115813,194728,18110,25429,34745,-159983,-203522,52855
2022-07-26,437389,187850,116904,7964,27549,249539,132635,97122,257503
2022-07-27,796907,18414,103388,3759,2987,778493,675105,668359,782252
2022-07-28,120522,364452,43379,18911,9720,-243930,-287309,-315940,-225019
2022-07-29,340463,229914,12862,16014,27954,110549,97687,53719,126563
2022-07-30,35110,250783,185518,18952,29552,-215673,-401191,-449695,-196721
2022-07-31,284056,203486,10032,11462,21424,80570,70538,37652,92032
2022-08-01,228633,200082,106515,1777,3115,28551,-77964,-82856,30328
2022-08-02,262649,179478,23116,7031,21593,83171,60055,31431,90202
2022-08-03,195590,172979,192752,16142,2504,22611,-170141,-188787,38753
2022-08-04,389899,117212,128594,16976,4448,272687,144093,122669,289663
2022-08-05,94831,354470,149671,1618,22292,-259639,-409310,-433220,-258021
2022-08-06,720673,315633,21302,2241,14638,405040,383738,366859,407281
2022-08-07,230823,123327,21625,5538,13051,107496,85871,67282,113034
2022-08-08,799780,250677,33858,15588,1011,549103,515245,498646,564691
2022-08-09,782283,271343,77012,10889,3093,510940,433928,419946,521829
2022-08-10,583574,281892,125922,8246,7408,301682,175760,160106,309928
2022-08-11,560754,272026,192001,5860,17972,288728,96727,72895,294588
2022-08-12,768932,196085,133694,8961,26475,572847,439153,403717,581808
2022-08-13,258771,187128,10827,17364,3755,71643,60816,39697,89007
2022-08-14,777737,319378,25043,2885,26049,458359,433316,404382,461244
2022-08-15,408791,184448,58345,892,12950,224343,165998,152156,225235
2022-08-16,355880,135421,107847,16171,24913,220459,112612,71528,236630
2022-08-17,502727,330679,161584,15224,21379,172048,10464,-26139,187272
2022-08-18,308175,171112,136054,12274,28257,137063,1009,-39522,149337
2022-08-19,655322,106772,114131,11042,20061,548550,434419,403316,559592
2022-08-20,462235,315599,19516,8093,21960,146636,127120,97067,154729
2022-08-21,140637,378205,17772,2769,18352,-237568,-255340,-276461,-234799
2022-08-22,451611,197519,177615,12336,12280,254092,76477,51861,266428
2022-08-23,665535,138392,18466,15726,7047,527143,508677,485904,542869
2022-08-24,288354,38876,38657,8436,29941,249478,210821,172444,257914
2022-08-25,577383,180678,43385,10785,5217,396705,353320,337318,407490
2022-08-26,154619,43383,155491,3072,26115,111236,-44255,-73442,114308
2022-08-27,567243,127538,179614,6554,21446,439705,260091,232091,446259
2022-08-28,192316,334818,88471,10023,13700,-142502,-230973,-254696,-132479
2022-08-29,300748,206393,26520,11757,10291,94355,67835,45787,106112
2022-08-30,248095,307997,37298,546,27002,-59902,-97200,-124748,-59356
2022-08-31,403560,126903,164896,19598,29643,276657,111761,62520,296255
2022-09-01,693945,195400,141512,17571,20252,498545,357033,319210,516116
2022-09-02,259676,265007,68802,6381,18881,-5331,-74133,-99395,1050
2022-09-03,621716,376109,88459,13579,29977,245607,157148,113592,259186
2022-09-04,155417,201985,137762,5272,2150,-46568,-184330,-191752,-41296
2022-09-05,43164,19932,151445,17809,13774,23232,-128213,-159796,41041
2022-09-06,218869,101522,173545,15540,28595,117347,-56198,-100333,132887
2022-09-07,720956,273440,118477,3370,624,447516,329039,325045,450886
2022-09-08,170442,232570,79331,6945,18990,-62128,-141459,-167394,-55183
2022-09-09,44258,339888,16734,10606,26000,-295630,-312364,-348970,-285024
2022-09-10,174295,75311,106421,18138,28542,98984,-7437,-54117,117122
2022-09-11,519543,263462,71581,12712,28808,256081,184500,142980,268793
2022-09-12,432419,120074,172738,5458,14431,312345,139607,119718,317803
2022-09-13,682979,28856,24621,9481,5277,654123,629502,614744,663604
2022-09-14,579617,53515,99149,6381,28468,526102,426953,392104,532483
2022-09-15,70640,160090,7183,13420,1933,-89450,-96633,-111986,-76030
2022-09-16,558463,42778,66718,19581,15459,515685,448967,413927,535266
2022-09-17,48120,339432,132770,10734,22524,-291312,-424082,-457340,-280578
2022-09-18,120386,374882,197884,18483,17305,-254496,-452380,-488168,-236013
2022-09-19,669150,287974,94869,10217,3735,381176,286307,272355,391393
2022-09-20,144787,382235,132464,15380,16869,-237448,-369912,-402161,-222068
2022-09-21,686751,321941,38280,2981,16290,364810,326530,307259,367791
2022-09-22,344266,353440,38201,18090,11460,-9174,-47375,-76925,8916
2022-09-23,559850,167233,77332,17840,27268,392617,315285,270177,410457
2022-09-24,174424,184884,169458,15950,9358,-10460,-179918,-205226,5490
2022-09-25,531227,307035,184789,6199,18364,224192,39403,14840,230391
2022-09-26,20521,362680,138811,6924,13326,-342159,-480970,-501220,-335235
2022-09-27,406566,186902,160772,1917,11562,219664,58892,45413,221581
2022-09-28,332441,103910,195638,5817,4844,228531,32893,22232,234348
2022-09-29,755649,248264,165036,18027,11326,507385,342349,312996,525412
2022-09-30,699663,114312,83452,4370,17322,585351,501899,480207,589721
2022-10-01,618373,135355,185393,1013,12312,483018,297625,284300,484031
2022-10-02,544106,307792,161423,9224,10112,236314,74891,55555,245538
2022-10-03,329224,383836,172134,6535,27196,-54612,-226746,-260477,-48077
2022-10-04,135750,56165,28470,6557,19457,79585,51115,25101,86142
2022-10-05,56097,97009,106131,6916,28198,-40912,-147043,-182157,-33996
2022-10-06,691009,395862,56423,12924,24760,295147,238724,201040,308071
2022-10-07,271218,228740,40343,8450,14946,42478,2135,-21261,50928
2022-10-08,471491,212564,146611,13778,13562,258927,112316,84976,272705
2022-10-09,221684,55302,53961,9655,13120,166382,112421,89646,176037
2022-10-10,572623,316048,95590,12972,28525,256575,160985,119488,269547
2022-10-11,110267,84914,31560,13932,28502,25353,-6207,-48641,39285
2022-10-12,74993,183678,30931,19929,16742,-108685,-139616,-176287,-88756
2022-10-13,429270,107832,144350,1710,3249,321438,177088,172129,323148
2022-10-14,555486,377989,188296,6469,24159,177497,-10799,-41427,183966
2022-10-15,272571,271646,150120,10258,13762,925,-149195,-173215,11183
2022-10-16,629264,247560,72967,9783,20074,381704,308737,278880,391487
2022-10-17,112619,273711,73094,2492,26182,-161092,-234186,-262860,-158600
2022-10-18,334949,214612,59137,6822,15307,120337,61200,39071,127159
2022-10-19,210772,310698,71603,10484,10188,-99926,-171529,-192201,-89442
2022-10-20,790712,368592,111354,18130,24762,422120,310766,267874,440250
2022-10-21,657897,333839,146896,17936,2107,324058,177162,157119,341994
2022-10-22,396915,165370,21340,7588,2849,231545,210205,199768,239133
2022-10-23,63239,324158,88101,12187,16097,-260919,-349020,-377304,-248732
2022-10-24,558812,269936,150723,8112,1073,288876,138153,128968,296988
2022-10-25,321049,178434,167272,11236,18352,142615,-24657,-54245,153851
2022-10-26,667260,42413,53876,2692,15064,624847,570971,553215,627539
2022-10-27,281950,249524,17298,14303,14067,32426,15128,-13242,46729
2022-10-28,135650,207219,15041,9092,1710,-71569,-86610,-97412,-62477
2022-10-29,416510,293104,90693,15977,12887,123406,32713,3849,139383
2022-10-30,542270,152122,71087,18547,3139,390148,319061,297375,408695
2022-10-31,55817,102868,30886,5613,9616,-47051,-77937,-93166,-41438
2022-11-01,646014,281533,199238,7691,7436,364481,165243,150116,372172
2022-11-02,530204,71322,143683,2936,8172,458882,315199,304091,461818
2022-11-03,74306,230524,134436,5910,26012,-156218,-290654,-322576,-150308
2022-11-04,784171,61649,121844,1957,24416,722522,600678,574305,724479
2022-11-05,758400,76687,80095,16706,3038,681713,601618,581874,698419
2022-11-06,218182,43815,58521,13093,1353,174367,115846,101400,187460
2022-11-07,733802,224670,120417,19899,18971,509132,388715,349845,529031
2022-11-08,36951,204152,130761,11440,27716,-167201,-297962,-337118,-155761
2022-11-09,657185,144342,143849,15470,20554,512843,368994,332970,528313
2022-11-10,420259,20195,149577,8743,26387,400064,250487,215357,408807
2022-11-11,390615,127392,83341,8793,4786,263223,179882,166303,272016
2022-11-12,762237,151424,123666,18254,24322,610813,487147,444571,629067
2022-11-13,482692,356296,115587,19703,1443,126396,10809,-10337,146099
2022-11-14,292513,27390,48582,4789,12597,265123,216541,199155,269912
2022-11-15,658797,331400,34237,14278,16438,327397,293160,262444,341675
2022-11-16,74649,255623,71806,990,4316,-180974,-252780,-258086,-179984
2022-11-17,517658,281885,100034,15129,29716,235773,135739,90894,250902
2022-11-18,574997,384419,157193,6591,16724,190578,33385,10070,197169
2022-11-19,741197,203496,171871,4544,16531,537701,365830,344755,542245
2022-11-20,660516,341322,132649,14526,11895,319194,186545,160124,333720
2022-11-21,138946,304684,96692,16169,29904,-165738,-262430,-308503,-149569
2022-11-22,783986,93211,21715,17316,3087,690775,669060,648657,708091
2022-11-23,120274,309853,197025,8171,8863,-189579,-386604,-403638,-181408
2022-11-24,33126,80783,164461,12074,2082,-47657,-212118,-226274,-35583
2022-11-25,649181,376310,18212,15306,16545,272871,254659,222808,288177
2022-11-26,249139,63281,134412,6062,7658,185858,51446,37726,191920
2022-11-27,251502,360529,117328,3271,28158,-109027,-226355,-257784,-105756
2022-11-28,369779,312350,132410,5688,28436,57429,-74981,-109105,63117
2022-11-29,406350,181751,195635,18439,8455,224599,28964,2070,243038
2022-11-30,658355,249711,48370,9306,11617,408644,360274,339351,417950
2022-12-01,184495,255918,187317,4045,14101,-71423,-258740,-276886,-67378
2022-12-02,556400,24920,26454,14048,14526,531480,505026,476452,545528
2022-12-03,542333,246670,88773,16733,10999,295663,206890,179158,312396
2022-12-04,692794,323471,97614,4831,29552,369323,271709,237326,374154
2022-12-05,763200,298318,198971,3963,5029,464882,265911,256919,468845
2022-12-06,679222,214927,133152,1020,9290,464295,331143,320833,465315
2022-12-07,101112,195292,182045,5838,18378,-94180,-276225,-300441,-88342
2022-12-08,465583,176292,62562,16761,9000,289291,226729,200968,306052
2022-12-09,524517,394186,108639,12214,10920,130331,21692,-1442,142545
2022-12-10,651696,251829,52806,4414,2147,399867,347061,340500,404281
2022-12-11,172618,307990,127937,15293,18329,-135372,-263309,-296931,-120079
2022-12-12,190267,393413,165701,8331,7284,-203146,-368847,-384462,-194815
2022-12-13,527287,102949,122260,14328,26886,424338,302078,260864,438666
2022-12-14,505712,249046,105653,1698,14135,256666,151013,135180,258364
2022-12-15,470394,252411,127823,10478,28630,217983,90160,51052,228461
2022-12-16,740339,288493,191732,2430,9842,451846,260114,247842,454276
2022-12-17,256945,77937,176809,5831,14432,179008,2199,-18064,184839
2022-12-18,287901,196992,148672,10063,9241,90909,-57763,-77067,100972
2022-12-19,700879,300230,112425,7477,23983,400649,288224,256764,408126
2022-12-20,661393,15521,53187,19471,20459,645872,592685,552755,665343
2022-12-21,345401,164614,90855,4992,24278,180787,89932,60662,185779
2022-12-22,277483,200653,97600,4285,24307,76830,-20770,-49362,81115
2022-12-23,40021,210094,155736,5365,5494,-170073,-325809,-336668,-164708
2022-12-24,595108,300392,84439,903,8421,294716,210277,200953,295619
2022-12-25,778227,354895,45632,5722,22469,423332,377700,349509,429054
2022-12-26,118929,264069,21062,15585,830,-145140,-166202,-182617,-129555
2022-12-27,781277,166276,153670,14651,21693,615001,461331,424987,629652
2022-12-28,107715,30015,18458,11418,19245,77700,59242,28579,89118
2022-12-29,179473,26941,115722,15000,18306,152532,36810,3504,167532
2022-12-30,164013,244037,188978,17651,27223,-80024,-269002,-313876,-62373
2022-12-31,343724,396180,154353,18813,5944,-52456,-206809,-231566,-33643
2023-01-01,734630,224463,179156,17714,7368,510167,331011,305929,527881
2023-01-02,774229,293480,155355,13569,23269,480749,325394,288556,494318
2023-01-03,413228,137213,95931,10722,28332,276015,180084,141030,286737
2023-01-04,289485,162393,47480,1735,15049,127092,79612,62828,128827
2023-01-05,266751,193035,17371,19339,20686,73716,56345,16320,93055
2023-01-06,169993,95491,158273,5742,3647,74502,-83771,-93160,80244
2023-01-07,105850,366964,28615,14626,1462,-261114,-289729,-305817,-246488
2023-01-08,759979,264489,88746,19518,27656,495490,406744,359570,515008
2023-01-09,252713,20564,187783,10862,25258,232149,44366,8246,243011
2023-01-10,717154,49283,101004,8435,14794,667871,566867,543638,676306
2023-01-11,137998,232873,102629,13514,7951,-94875,-197504,-218969,-81361
2023-01-12,547694,281674,117205,14807,8310,266020,148815,125698,280827
2023-01-13,357437,22523,49046,18304,5867,334914,285868,261697,353218
2023-01-14,440997,331921,181139,6970,8979,109076,-72063,-88012,116046
2023-01-15,576203,259922,180185,19938,4623,316281,136096,111535,336219
2023-01-16,695480,93881,12488,5884,6797,601599,589111,576430,607483
2023-01-17,168813,234621,192145,3712,4421,-65808,-257953,-266086,-62096
2023-01-18,236931,104915,15617,4707,3702,132016,116399,107990,136723
2023-01-19,140821,150296,106473,9442,23025,-9475,-115948,-148415,-33
2023-01-20,434263,263804,143223,542,20301,170459,27236,6393,171001
2023-01-21,185800,61330,23976,15263,11977,124470,100494,73254,139733
2023-01-22,74853,341351,10276,19207,12055,-266498,-276774,-308036,-247291
2023-01-23,361190,137925,120780,12960,13755,223265,102485,75770,236225
2023-01-24,639316,273647,89637,5448,16965,365669,276032,253619,371117
2023-01-25,672922,234948,61770,907,22563,437974,376204,352734,438881
2023-01-26,457244,310669,154237,11030,614,146575,-7662,-19306,157605
2023-01-27,225910,129665,15556,4326,13961,96245,80689,62402,100571
2023-01-28,96482,346775,144283,9472,12309,-250293,-394576,-416357,-240821
2023-01-29,292343,261141,148681,8377,23666,31202,-117479,-149522,39579
2023-01-30,347307,166085,148911,12870,4803,181222,32311,14638,194092
